Norm,Alt
1.64,1.52
1.76,2.32
1.76,2
2.12,1.84
1.76,2.08
2.28,2.48
1.96,1.8
1.8,2.12
2.24,1.84
1.88,2
1.96,2.08
1.92,2.04
1.72,1.76
1.96,2.04
1.96,2
2.08,1.88
1.84,2.04
2.2,1.84
2.32,1.96
1.88,1.8
2.04,1.6
2.04,1.68
1.96,1.92
1.76,1.88
2.04,2.36
2.04,1.56
1.92,2.4
2.16,2.12
1.68,2.04
1.84,2.04
1.84,2.44
2.24,1.84
1.92,1.84
2.16,2.2
2.08,2.04
1.76,2.2
1.96,2.2
1.8,2.04
1.88,2.2
1.76,2.32
1.96,2.24
2.6,2.16
1.96,1.76
2.04,2.24
2.28,1.6
2.12,2.32
2,2.12
2.16,1.72
1.96,2
2.32,1.96
1.72,1.8
2.4,2.12
2.12,2.2
1.96,2.28
1.8,2.44
1.84,1.76
1.88,1.96
2.16,1.92
1.52,2.44
2,1.92
2.04,1.72
1.88,1.76
2.04,1.96
2.2,1.92
1.68,2.08
2.12,1.8
2.04,2.24
2.28,2.24
1.96,1.72
2.36,2.04
2.36,2.08
2.08,2.12
2.12,1.88
2.16,2
2.12,1.92
1.76,1.88
1.72,1.68
2.04,2.12
2.04,2.04
1.96,1.64
2,1.88
2.16,1.8
2.04,1.88
2.36,2.08
2.04,2
2.04,2.24
1.76,1.84
2.36,2.36
1.8,2.36
2.04,1.84
1.96,2.24
2.08,1.76
2.32,2.12
2,1.88
2.08,2.2
1.88,2.04
2.04,1.88
2,1.96
2,2.24
2.12,1.6
1.92,1.96
2.16,1.92
2.4,2.24
1.92,2
2.32,1.92
2.2,1.72
2.32,2.08
2.32,1.96
2.24,2.4
2.56,2.12
1.84,1.92
1.8,1.88
1.92,1.92
2.2,2
1.84,1.84
2.12,1.76
1.96,2
1.92,2.16
2.08,1.8
2.08,1.88
2.32,2.04
1.92,1.76
1.88,2
1.88,2.12
1.72,1.88
1.92,1.76
1.92,1.96
2.2,2.2
1.92,1.84
2.44,2.44
2.64,2.28
2.12,2
2.2,1.84
1.72,2.16
1.72,1.84
1.68,1.92
2.12,1.88
2,2.16
2.04,1.56
2.2,2.24
2.04,1.96
2.12,1.72
1.68,1.72
1.68,1.88
1.96,2.16
2,2
1.88,2
2.04,2
1.92,1.96
1.8,1.96
2.04,2
2.08,1.6
2.2,2
1.84,2.24
2.08,2
2.08,2
2,1.92
1.96,2.08
2.16,2.08
1.84,1.88
2.32,2.12
1.96,2
1.92,2.08
2.32,1.88
1.84,2.24
1.92,2.32
2.12,1.96
2,1.84
2.12,1.84
1.84,2
2.24,2.4
2.32,1.76
1.72,1.76
2.28,2.08
2.16,1.84
2,2
2.04,1.96
1.4,1.96
2.12,1.72
2.2,2.16
1.6,2.16
2.12,1.88
1.88,2
2.16,2.04
1.8,2.04
1.6,2.08
1.96,2.32
2.04,2.2
1.72,1.64
2.12,1.84
1.96,1.88
2.4,1.72
2.12,1.88
2.08,1.88
2,2
2.28,2.04
2.2,1.8
2,2.12
2,2.12
2.16,2.16
1.8,1.84
1.88,2.08
2.04,2.2
2.04,2.16
1.84,2.36
2.32,2.12
2,1.72
1.84,1.56
1.84,1.96
1.76,2.08
1.8,2.12
2.36,2
2.16,2.04
2.16,2.08
1.84,1.92
1.76,1.28
2.04,1.92
2,1.88
2.28,1.8
2.24,1.84
2,1.84
1.8,2
1.72,1.76
1.92,2.24
2.2,1.92
2.12,2.2
2.04,1.92
1.8,2.08
2.16,1.88
1.88,1.96
2.12,2.12
2.12,2
1.84,1.84
1.96,1.6
2.28,2.08
2.04,2.24
1.96,2.04
1.68,1.8
2.16,2.24
1.8,1.64
1.72,1.96
1.8,1.8
1.8,2.28
2.08,1.88
2.04,2.12
2.52,2
1.96,1.64
1.84,2.48
1.72,2.04
2.28,2.16
1.92,2.28
2.04,2.2
1.76,2.12
1.96,2
2.2,2.28
1.88,1.8
1.88,2.2
2.04,1.88
2.12,2
2,1.72
2.08,2
1.88,2.24
2.08,2.24
1.76,2.04
2.36,2.28
1.96,2.16
2.16,1.96
2.12,2.16
2.12,2.04
2,1.84
2.08,1.84
1.8,1.92
2.16,1.92
1.84,2.04
2.28,2.32
1.72,2.32
2.32,1.88
2.56,2.16
2.04,2.08
1.6,1.8
2.08,1.72
2.36,1.6
1.88,1.76
2.08,2.08
2.36,2.04
1.88,1.88
2.2,1.72
1.84,1.8
2.24,2.24
2.12,1.96
1.92,2
1.88,2.08
2.08,2.08
2.32,2.04
1.88,1.96
1.88,2.2
1.88,1.8
1.8,1.88
2.04,1.64
2.12,2.2
2,1.6
1.8,1.88
1.96,2.2
2.12,1.96
2.16,1.92
2.16,2.04
2.36,1.96
1.96,1.72
1.88,2.32
2.36,2.08
1.68,2.16
2.12,2.12
2,2.08
2.12,1.8
1.76,2.04
1.96,2.28
2.12,2.24
2.08,2
2.16,1.88
2.12,2
2.2,2.12
2.08,2.16
2.16,1.92
1.84,2
1.96,2.28
2.04,1.6
2.04,2.24
2.08,2.04
2.28,2.04
2.28,2.36
1.76,2.08
1.8,2
2,1.76
1.84,1.8
1.92,2.4
1.88,2.2
1.72,2
2.08,2.16
2.12,2.04
1.88,1.88
1.72,1.72
2.04,1.96
1.84,1.96
1.56,2.04
1.8,2.24
1.92,1.84
1.88,1.88
1.84,2.04
1.92,2.52
1.96,2.04
1.88,2.12
1.84,2.16
2.08,1.8
2,1.4
1.92,1.72
2.24,1.72
1.88,1.88
2.28,2.12
2.2,2.04
2.08,1.76
2.04,2
1.88,1.68
2.08,1.92
1.76,1.8
2.04,1.76
2.12,1.92
1.88,1.8
2.08,1.48
1.84,1.76
2.32,2.04
2.36,1.96
1.88,2.16
1.96,1.88
1.88,2.08
1.76,2.04
1.76,1.92
2.12,2.08
2.32,2.12
1.96,2
1.92,2.12
1.72,2.12
1.72,1.76
2.16,1.96
1.96,2.32
2.28,1.56
1.6,2.16
2.32,1.92
